,Season,Episode,Rating,Votes,WrittenBy,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Holly,Nellie,Creed,Gabe,Robert,David,Karen,Clark,Roy,Pete,David Wallace
139,7,23,8.7,2134,Justin Spitzer,,73.0,28.0,11.0,26.0,20.0,11.0,4.0,13.0,2.0,5.0,5.0,6.0,,6.0,2.0,1.0,,,2.0,20.0,,,,,,,
140,7,24,8.8,2344,Paul Lieberstein,,44.0,90.0,32.0,26.0,14.0,11.0,22.0,23.0,11.0,27.0,20.0,17.0,,13.0,4.0,6.0,,9.0,17.0,30.0,12.0,,,,,,
141,8,1,8.2,2102,B. J. Novak,,38.0,38.0,25.0,52.0,10.0,7.0,7.0,9.0,5.0,5.0,11.0,6.0,,4.0,8.0,6.0,,,1.0,3.0,33.0,,,,,,
142,8,2,8.1,1943,Paul Lieberstein,,21.0,42.0,34.0,86.0,24.0,14.0,7.0,18.0,5.0,7.0,8.0,5.0,,1.0,5.0,5.0,,,,,24.0,,,,,,
143,8,3,7.3,1858,Charlie Grandy,,37.0,52.0,23.0,63.0,21.0,3.0,18.0,12.0,6.0,49.0,7.0,6.0,,2.0,,4.0,,,1.0,,,,,,,,
144,8,4,8.1,1993,Justin Spitzer,,29.0,23.0,15.0,66.0,6.0,13.0,10.0,5.0,8.0,10.0,3.0,3.0,,6.0,1.0,6.0,,,,4.0,18.0,,,,,,
145,8,5,7.6,1797,Carrie Kemper,,21.0,29.0,27.0,34.0,9.0,5.0,10.0,36.0,3.0,9.0,7.0,12.0,,7.0,4.0,9.0,,,4.0,9.0,32.0,,,,,,
146,8,6,7.7,1718,Daniel Chun,,51.0,44.0,21.0,54.0,10.0,7.0,11.0,8.0,3.0,16.0,2.0,5.0,,8.0,9.0,,,,,24.0,35.0,,,,,,
147,8,7,7.7,1833,Allison Silverman,,55.0,40.0,65.0,43.0,15.0,,4.0,13.0,6.0,23.0,2.0,6.0,,4.0,,,,,2.0,2.0,10.0,,,,,,
148,8,8,6.9,1850,Robert Padnick,,30.0,25.0,18.0,58.0,18.0,1.0,20.0,17.0,11.0,13.0,11.0,5.0,,,4.0,1.0,,,,10.0,24.0,,,,,,
149,8,9,7.7,1812,Dan Greaney,,52.0,29.0,,59.0,2.0,2.0,12.0,8.0,3.0,24.0,3.0,1.0,,3.0,1.0,1.0,,,2.0,4.0,40.0,,,,,,
150,8,10,8.0,1795,Mindy Kaling,,28.0,44.0,,88.0,10.0,2.0,9.0,38.0,10.0,10.0,7.0,10.0,,6.0,5.0,18.0,,,2.0,,26.0,,,,,,
151,8,11,7.9,1742,Steve Hely,,34.0,19.0,,44.0,19.0,2.0,19.0,6.0,6.0,10.0,3.0,7.0,,,5.0,7.0,,,1.0,21.0,16.0,,,,,,
152,8,12,8.0,1887,Owen Ellickson,,47.0,22.0,,44.0,11.0,5.0,12.0,58.0,10.0,10.0,3.0,6.0,,8.0,7.0,9.0,,,,9.0,24.0,,,,,,
153,8,13,7.5,1717,Aaron Shure,,58.0,73.0,28.0,47.0,12.0,31.0,24.0,14.0,2.0,13.0,12.0,2.0,,5.0,7.0,2.0,,,5.0,5.0,,,,,,,
154,8,14,7.7,1671,Amelie Gillette,,67.0,30.0,29.0,45.0,5.0,8.0,4.0,15.0,12.0,23.0,2.0,8.0,,2.0,7.0,2.0,,,1.0,,,,,,,,
155,8,15,7.8,1774,Daniel Chun,,63.0,32.0,10.0,22.0,2.0,,1.0,21.0,9.0,4.0,,3.0,,,13.0,2.0,,27.0,2.0,,,,,,,,
156,8,16,8.1,1828,Halsted Sullivan | Warren Lieberstein,,60.0,55.0,15.0,20.0,4.0,11.0,10.0,19.0,20.0,14.0,4.0,8.0,,,6.0,,,24.0,,6.0,,,,,,,
157,8,17,7.8,1721,Mindy Kaling,,53.0,28.0,10.0,28.0,8.0,9.0,6.0,10.0,17.0,4.0,2.0,9.0,,18.0,1.0,3.0,,19.0,1.0,,,,,,,,
158,8,18,7.8,1681,Robert Padnick,,45.0,45.0,10.0,20.0,19.0,3.0,4.0,15.0,2.0,26.0,6.0,3.0,,16.0,2.0,1.0,,12.0,2.0,1.0,,,,,,,
159,8,19,6.6,1944,Charlie Grandy,,21.0,38.0,17.0,33.0,8.0,1.0,1.0,32.0,1.0,7.0,4.0,1.0,,3.0,1.0,2.0,,42.0,1.0,,24.0,,,,,,
160,8,20,7.1,1739,Steve Hely,,22.0,39.0,32.0,48.0,3.0,8.0,11.0,25.0,3.0,1.0,9.0,,,,1.0,,,22.0,3.0,2.0,19.0,,,,,,
161,8,21,7.1,1857,Justin Spitzer,,16.0,19.0,29.0,53.0,9.0,7.0,7.0,24.0,30.0,5.0,10.0,13.0,,1.0,1.0,1.0,,36.0,2.0,4.0,18.0,,,,,,
162,8,22,7.1,1694,Owen Ellickson,,15.0,24.0,22.0,41.0,18.0,4.0,16.0,7.0,17.0,14.0,1.0,,,,1.0,2.0,,17.0,1.0,,13.0,5.0,,,,,
163,8,23,7.6,1630,Warren Lieberstein | Halsted Sullivan,,56.0,48.0,23.0,28.0,1.0,3.0,1.0,8.0,,,1.0,,,7.0,1.0,,,15.0,1.0,13.0,33.0,4.0,,,,,
164,8,24,7.7,1702,B. J. Novak,,27.0,31.0,22.0,49.0,3.0,20.0,11.0,9.0,,15.0,5.0,4.0,,5.0,1.0,2.0,,19.0,1.0,2.0,15.0,17.0,,,,,
165,9,1,7.6,1837,Greg Daniels,,42.0,21.0,19.0,33.0,7.0,16.0,9.0,4.0,1.0,3.0,1.0,2.0,,11.0,3.0,2.0,,10.0,1.0,,,1.0,,22.0,,13.0,
166,9,2,7.2,1730,Allison Silverman,,31.0,39.0,34.0,33.0,10.0,7.0,5.0,31.0,,11.0,1.0,,,5.0,1.0,1.0,,31.0,4.0,,,,,22.0,11.0,16.0,
167,9,3,7.4,1712,Jonathan Green | Gabe Miller,,24.0,19.0,34.0,44.0,3.0,2.0,7.0,21.0,,31.0,3.0,,,,2.0,1.0,,34.0,,,,,,4.0,,5.0,
168,9,4,7.8,1809,Brent Forrester,,40.0,60.0,29.0,40.0,16.0,5.0,13.0,11.0,,11.0,5.0,,,2.0,10.0,7.0,,27.0,3.0,,,,,12.0,,2.0,
169,9,5,7.0,1780,Owen Ellickson,,39.0,35.0,32.0,50.0,2.0,6.0,3.0,24.0,,6.0,,,,5.0,2.0,5.0,,21.0,3.0,,,,,5.0,,2.0,
170,9,6,7.7,1720,Dan Sterling,,34.0,9.0,11.0,54.0,25.0,12.0,27.0,40.0,,4.0,,,,9.0,,3.0,,16.0,1.0,,,,,,,10.0,7.0
171,9,7,7.6,1652,Carrie Kemper,,53.0,22.0,45.0,9.0,3.0,21.0,21.0,18.0,,3.0,14.0,,25.0,5.0,,4.0,,6.0,1.0,,,6.0,,4.0,,9.0,
172,9,8,7.8,1693,Graham Wagner,,57.0,29.0,17.0,,16.0,52.0,22.0,6.0,,6.0,12.0,,,8.0,14.0,8.0,,9.0,3.0,,,3.0,,,,23.0,
173,9,9,8.3,1918,Robert Padnick,,59.0,58.0,32.0,,13.0,11.0,7.0,24.0,,17.0,10.0,,,11.0,5.0,5.0,,11.0,2.0,,,,,,,22.0,
174,9,10,7.6,1720,Niki Schwartz-Wright,,18.0,28.0,44.0,,14.0,16.0,10.0,26.0,,15.0,8.0,,,,4.0,22.0,,9.0,4.0,,,,,,,7.0,
175,9,11,7.9,1697,Dan Greaney,,41.0,18.0,23.0,,19.0,13.0,19.0,11.0,,19.0,6.0,,,,4.0,6.0,,9.0,3.0,,,,,35.0,,2.0,
176,9,12,8.0,1754,Jonathan Green | Gabe Miller,,44.0,37.0,48.0,,10.0,6.0,8.0,18.0,,24.0,3.0,,,7.0,1.0,2.0,,24.0,2.0,,,,,1.0,,12.0,
177,9,13,7.6,1644,Carrie Kemper,,87.0,45.0,24.0,,1.0,1.0,2.0,2.0,,2.0,,,,,2.0,5.0,,3.0,,,,,,33.0,,,9.0
178,9,14,7.5,1641,Owen Ellickson,,37.0,30.0,57.0,,6.0,15.0,12.0,10.0,,35.0,1.0,,,3.0,,1.0,,9.0,1.0,,,,,4.0,,,
179,9,15,7.3,1655,Allison Silverman,,32.0,26.0,28.0,62.0,6.0,4.0,7.0,26.0,,3.0,6.0,,8.0,,1.0,2.0,,7.0,,,,,,9.0,,8.0,10.0
180,9,16,8.1,1839,Graham Wagner,,44.0,28.0,55.0,83.0,5.0,42.0,8.0,33.0,,5.0,10.0,,,15.0,5.0,7.0,,8.0,4.0,20.0,,15.0,,9.0,,41.0,1.0
181,9,17,7.5,1931,Paul Lieberstein,,51.0,6.0,21.0,5.0,12.0,8.0,11.0,4.0,,1.0,8.0,,,,2.0,3.0,,2.0,3.0,,,,,5.0,,,
182,9,18,8.0,1691,Tim McAuliffe,,37.0,31.0,42.0,11.0,9.0,32.0,29.0,3.0,,12.0,6.0,,,2.0,5.0,3.0,,4.0,,,,,,23.0,,2.0,
183,9,19,8.0,1743,Dan Sterling,,61.0,15.0,9.0,31.0,5.0,4.0,7.0,10.0,,,5.0,,,15.0,21.0,2.0,,13.0,2.0,,7.0,,,37.0,,2.0,
184,9,20,8.0,1748,Halsted Sullivan | Warren Lieberstein,,21.0,17.0,22.0,39.0,10.0,16.0,2.0,16.0,,10.0,,,,7.0,2.0,,,20.0,1.0,,2.0,,,6.0,,4.0,
185,9,21,9.0,2439,Niki Schwartz-Wright,,54.0,63.0,30.0,68.0,13.0,30.0,19.0,9.0,,11.0,4.0,,,7.0,4.0,1.0,,5.0,2.0,,,,,8.0,,5.0,37.0
186,9,22,9.5,3401,Brent Forrester,,87.0,89.0,34.0,44.0,30.0,39.0,28.0,22.0,,30.0,7.0,,,,4.0,9.0,,,4.0,,,,,5.0,,4.0,
187,9,23,9.8,9269,Greg Daniels,2.0,76.0,73.0,45.0,31.0,31.0,23.0,18.0,11.0,15.0,19.0,17.0,12.0,,13.0,8.0,15.0,,9.0,8.0,,,,,3.0,,3.0,2.0
